,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
0,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T06:43:00Z,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0.0
1,"{'trumpd': 0.5640000000000001, 'bidenj': 0.428}",560771,5,edison,2020-11-04T00:02:01Z,0.5640000000000001,0.428,0.007999999999999952,316275.0,240010.0,4487.0,316275.0,240010.0,4487.0,316275.0,240010.0,4487.0,560771,76265.0
2,"{'trumpd': 0.557, 'bidenj': 0.434}",844914,7,edison,2020-11-04T00:02:42Z,0.557,0.434,0.008999999999999952,470618.0,366693.0,7605.0,154343.0,126683.0,3118.0,154343.0,126683.0,3118.0,844914,103925.0
3,"{'trumpd': 0.556, 'bidenj': 0.435}",1004171,9,edison,2020-11-04T00:03:26Z,0.556,0.435,0.008999999999999952,558320.0,436815.0,9038.0,87702.0,70122.0,1433.0,87702.0,70122.0,1433.0,1004171,121505.0
4,"{'trumpd': 0.524, 'bidenj': 0.467}",1457441,12,edison,2020-11-04T00:05:44Z,0.524,0.467,0.008999999999999952,763700.0,680625.0,13117.0,205380.0,243810.0,4079.0,205380.0,243810.0,4079.0,1457441,83075.0
5,"{'trumpd': 0.53, 'bidenj': 0.461}",1515932,13,edison,2020-11-04T00:07:05Z,0.53,0.461,0.008999999999999952,803444.0,698845.0,13644.0,39744.0,18220.0,527.0,39744.0,18220.0,527.0,1515932,104599.0
6,"{'trumpd': 0.53, 'bidenj': 0.461}",1516751,13,edison,2020-11-04T00:07:48Z,0.53,0.461,0.008999999999999952,803879.0,699223.0,13651.0,435.0,378.0,7.0,435.0,378.0,7.0,1516751,104656.0
7,"{'trumpd': 0.53, 'bidenj': 0.461}",1517513,13,edison,2020-11-04T00:08:50Z,0.53,0.461,0.008999999999999952,804282.0,699574.0,13658.0,403.0,351.0,7.0,403.0,351.0,7.0,1517513,104708.0
8,"{'trumpd': 0.532, 'bidenj': 0.46}",1575006,13,edison,2020-11-04T00:09:04Z,0.532,0.46,0.007999999999999952,837904.0,724503.0,12601.0,33622.0,24929.0,-1057.0,33622.0,24929.0,1057.0,1575006,113401.0
9,"{'trumpd': 0.532, 'bidenj': 0.459}",1576355,13,edison,2020-11-04T00:09:47Z,0.532,0.459,0.008999999999999952,838621.0,723547.0,14188.0,717.0,-956.0,1587.0,717.0,956.0,1587.0,1576355,115074.0
10,"{'trumpd': 0.531, 'bidenj': 0.46}",1613677,14,edison,2020-11-04T00:10:11Z,0.531,0.46,0.008999999999999952,856863.0,742292.0,14524.0,18242.0,18745.0,336.0,18242.0,18745.0,336.0,1613677,114571.0
11,"{'trumpd': 0.532, 'bidenj': 0.459}",1619774,14,edison,2020-11-04T00:10:49Z,0.532,0.459,0.008999999999999952,861720.0,743477.0,14578.0,4857.0,1185.0,54.0,4857.0,1185.0,54.0,1619774,118243.0
12,"{'trumpd': 0.533, 'bidenj': 0.458}",1790869,15,edison,2020-11-04T00:11:09Z,0.533,0.458,0.008999999999999952,954534.0,820219.0,16118.0,92814.0,76742.0,1540.0,92814.0,76742.0,1540.0,1790869,134315.0
13,"{'trumpd': 0.533, 'bidenj': 0.458}",1792571,15,edison,2020-11-04T00:11:13Z,0.533,0.458,0.008999999999999952,955441.0,820998.0,16134.0,907.0,779.0,16.0,907.0,779.0,16.0,1792571,134443.0
14,"{'trumpd': 0.533, 'bidenj': 0.458}",1792783,15,edison,2020-11-04T00:11:36Z,0.533,0.458,0.008999999999999952,955554.0,821095.0,16136.0,113.0,97.0,2.0,113.0,97.0,2.0,1792783,134459.0
15,"{'trumpd': 0.509, 'bidenj': 0.482}",2394114,20,edison,2020-11-04T00:11:47Z,0.509,0.482,0.009000000000000008,1218605.0,1153963.0,21548.0,263051.0,332868.0,5412.0,263051.0,332868.0,5412.0,2394114,64642.0
16,"{'bidenj': 0.498, 'trumpd': 0.493}",2564464,22,edison,2020-11-04T00:12:48Z,0.493,0.498,0.009000000000000008,1264281.0,1277104.0,23081.0,45676.0,123141.0,1533.0,45676.0,123141.0,1533.0,2564464,-12823.0
17,"{'bidenj': 0.498, 'trumpd': 0.493}",2574380,22,edison,2020-11-04T00:12:52Z,0.493,0.498,0.009000000000000008,1269170.0,1282042.0,23170.0,4889.0,4938.0,89.0,4889.0,4938.0,89.0,2574380,-12872.0
