,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
0,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T09:23:03Z,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0.0
1,"{'trumpd': 0.674, 'bidenj': 0.326}",408,0,edison,2020-11-04T00:14:11Z,0.674,0.326,-5.551115123125783e-17,275.0,134.0,-0.0,275.0,134.0,-0.0,275.0,134.0,0.0,408,141.0
2,"{'bidenj': 0.618, 'trumpd': 0.37}",127106,2,edison,2020-11-04T00:15:51Z,0.37,0.618,0.01200000000000001,47030.0,78552.0,1526.0,46755.0,78418.0,1526.0,46755.0,78418.0,1526.0,127106,-31522.0
3,"{'bidenj': 0.557, 'trumpd': 0.431}",173638,3,edison,2020-11-04T00:19:55Z,0.431,0.557,0.0119999999999999,74838.0,96717.0,2084.0,27808.0,18165.0,558.0,27808.0,18165.0,558.0,173638,-21879.0
4,"{'bidenj': 0.557, 'trumpd': 0.432}",174006,3,edison,2020-11-04T00:21:57Z,0.432,0.557,0.01100000000000001,75171.0,96922.0,1915.0,333.0,205.0,-169.0,333.0,205.0,169.0,174006,-21751.0
5,"{'bidenj': 0.556, 'trumpd': 0.433}",174448,3,edison,2020-11-04T00:22:23Z,0.433,0.556,0.010999999999999899,75536.0,96994.0,1919.0,365.0,72.0,4.0,365.0,72.0,4.0,174448,-21458.0
6,"{'bidenj': 0.555, 'trumpd': 0.434}",175150,3,edison,2020-11-04T00:22:53Z,0.434,0.555,0.01100000000000001,76016.0,97209.0,1927.0,480.0,215.0,8.0,480.0,215.0,8.0,175150,-21193.0
7,"{'bidenj': 0.555, 'trumpd': 0.434}",175264,3,edison,2020-11-04T00:23:58Z,0.434,0.555,0.01100000000000001,76065.0,97272.0,1928.0,49.0,63.0,1.0,49.0,63.0,1.0,175264,-21207.0
8,"{'bidenj': 0.554, 'trumpd': 0.435}",175564,3,edison,2020-11-04T00:24:14Z,0.435,0.554,0.010999999999999899,76371.0,97263.0,1932.0,306.0,-9.0,4.0,306.0,9.0,4.0,175564,-20892.0
9,"{'bidenj': 0.554, 'trumpd': 0.435}",176131,3,edison,2020-11-04T00:24:49Z,0.435,0.554,0.010999999999999899,76617.0,97577.0,1938.0,246.0,314.0,6.0,246.0,314.0,6.0,176131,-20960.0
10,"{'bidenj': 0.547, 'trumpd': 0.442}",200351,4,edison,2020-11-04T00:25:55Z,0.442,0.547,0.01100000000000001,88556.0,109592.0,2204.0,11939.0,12015.0,266.0,11939.0,12015.0,266.0,200351,-21036.0
11,"{'bidenj': 0.533, 'trumpd': 0.456}",213213,4,edison,2020-11-04T00:28:08Z,0.456,0.533,0.01100000000000001,97226.0,113643.0,2346.0,8670.0,4051.0,142.0,8670.0,4051.0,142.0,213213,-16417.0
12,"{'bidenj': 0.531, 'trumpd': 0.458}",215268,4,edison,2020-11-04T00:29:54Z,0.458,0.531,0.01100000000000001,98593.0,114308.0,2368.0,1367.0,665.0,22.0,1367.0,665.0,22.0,215268,-15715.0
13,"{'bidenj': 0.531, 'trumpd': 0.458}",215927,4,edison,2020-11-04T00:30:54Z,0.458,0.531,0.01100000000000001,98895.0,114658.0,2376.0,302.0,350.0,8.0,302.0,350.0,8.0,215927,-15763.0
14,"{'bidenj': 0.531, 'trumpd': 0.458}",216354,4,edison,2020-11-04T00:31:47Z,0.458,0.531,0.01100000000000001,99091.0,114884.0,2380.0,196.0,226.0,4.0,196.0,226.0,4.0,216354,-15793.0
15,"{'bidenj': 0.532, 'trumpd': 0.458}",217327,4,edison,2020-11-04T00:31:54Z,0.458,0.532,0.010000000000000009,99536.0,115618.0,2174.0,445.0,734.0,-206.0,445.0,734.0,206.0,217327,-16082.0
16,"{'bidenj': 0.526, 'trumpd': 0.464}",220869,4,edison,2020-11-04T00:32:53Z,0.464,0.526,0.010000000000000009,102484.0,116178.0,2209.0,2948.0,560.0,35.0,2948.0,560.0,35.0,220869,-13694.0
17,"{'bidenj': 0.526, 'trumpd': 0.464}",221921,4,edison,2020-11-04T00:34:05Z,0.464,0.526,0.010000000000000009,102972.0,116731.0,2220.0,488.0,553.0,11.0,488.0,553.0,11.0,221921,-13759.0
18,"{'bidenj': 0.52, 'trumpd': 0.47000000000000003}",225197,4,edison,2020-11-04T00:36:20Z,0.47000000000000003,0.52,0.010000000000000009,105843.0,117103.0,2252.0,2871.0,372.0,32.0,2871.0,372.0,32.0,225197,-11260.0
19,"{'bidenj': 0.504, 'trumpd': 0.486}",242777,5,edison,2020-11-04T00:36:53Z,0.486,0.504,0.010000000000000009,117990.0,122360.0,2428.0,12147.0,5257.0,176.0,12147.0,5257.0,176.0,242777,-4370.0
20,"{'bidenj': 0.502, 'trumpd': 0.488}",244354,5,edison,2020-11-04T00:38:52Z,0.488,0.502,0.010000000000000009,119245.0,122666.0,2444.0,1255.0,306.0,16.0,1255.0,306.0,16.0,244354,-3421.0
21,"{'bidenj': 0.499, 'trumpd': 0.491}",246674,5,edison,2020-11-04T00:39:56Z,0.491,0.499,0.010000000000000009,121117.0,123091.0,2467.0,1872.0,425.0,23.0,1872.0,425.0,23.0,246674,-1974.0
22,"{'trumpd': 0.503, 'bidenj': 0.488}",258621,5,edison,2020-11-04T00:40:53Z,0.503,0.488,0.009000000000000008,130087.0,126208.0,2328.0,8970.0,3117.0,-139.0,8970.0,3117.0,139.0,258621,3879.0
23,"{'trumpd': 0.511, 'bidenj': 0.47900000000000004}",267419,5,edison,2020-11-04T00:42:34Z,0.511,0.47900000000000004,0.009999999999999953,136652.0,128094.0,2675.0,6565.0,1886.0,347.0,6565.0,1886.0,347.0,267419,8558.0
24,"{'trumpd': 0.513, 'bidenj': 0.47700000000000004}",271345,5,edison,2020-11-04T00:43:54Z,0.513,0.47700000000000004,0.009999999999999953,139200.0,129432.0,2714.0,2548.0,1338.0,39.0,2548.0,1338.0,39.0,271345,9768.0
25,"{'trumpd': 0.513, 'bidenj': 0.47800000000000004}",271584,5,edison,2020-11-04T00:44:40Z,0.513,0.47800000000000004,0.008999999999999952,139323.0,129818.0,2445.0,123.0,386.0,-269.0,123.0,386.0,269.0,271584,9505.0
26,"{'trumpd': 0.513, 'bidenj': 0.47700000000000004}",272419,5,edison,2020-11-04T00:45:11Z,0.513,0.47700000000000004,0.009999999999999953,139751.0,129944.0,2725.0,428.0,126.0,280.0,428.0,126.0,280.0,272419,9807.0
27,"{'trumpd': 0.524, 'bidenj': 0.466}",281914,5,edison,2020-11-04T00:45:53Z,0.524,0.466,0.009999999999999953,147723.0,131372.0,2820.0,7972.0,1428.0,95.0,7972.0,1428.0,95.0,281914,16351.0
28,"{'trumpd': 0.524, 'bidenj': 0.467}",283301,5,edison,2020-11-04T00:47:05Z,0.524,0.467,0.008999999999999952,148450.0,132302.0,2550.0,727.0,930.0,-270.0,727.0,930.0,270.0,283301,16148.0
29,"{'trumpd': 0.524, 'bidenj': 0.466}",283359,5,edison,2020-11-04T00:47:52Z,0.524,0.466,0.009999999999999953,148481.0,132046.0,2834.0,31.0,-256.0,284.0,31.0,256.0,284.0,283359,16435.0
30,"{'trumpd': 0.512, 'bidenj': 0.47900000000000004}",316754,6,edison,2020-11-04T00:48:54Z,0.512,0.47900000000000004,0.008999999999999952,162179.0,151726.0,2851.0,13698.0,19680.0,17.0,13698.0,19680.0,17.0,316754,10453.0
31,"{'trumpd': 0.512, 'bidenj': 0.47800000000000004}",321460,6,edison,2020-11-04T00:49:02Z,0.512,0.47800000000000004,0.009999999999999953,164588.0,153658.0,3215.0,2409.0,1932.0,364.0,2409.0,1932.0,364.0,321460,10930.0
32,"{'trumpd': 0.508, 'bidenj': 0.482}",350279,7,edison,2020-11-04T00:49:56Z,0.508,0.482,0.010000000000000009,177942.0,168835.0,3503.0,13354.0,15177.0,288.0,13354.0,15177.0,288.0,350279,9107.0
33,"{'trumpd': 0.508, 'bidenj': 0.482}",350408,7,edison,2020-11-04T00:50:56Z,0.508,0.482,0.010000000000000009,178008.0,168897.0,3505.0,66.0,62.0,2.0,66.0,62.0,2.0,350408,9111.0
34,"{'trumpd': 0.51, 'bidenj': 0.48}",353296,7,edison,2020-11-04T00:51:53Z,0.51,0.48,0.010000000000000009,180181.0,169583.0,3533.0,2173.0,686.0,28.0,2173.0,686.0,28.0,353296,10598.0
35,"{'trumpd': 0.523, 'bidenj': 0.467}",392153,7,edison,2020-11-04T00:53:56Z,0.523,0.467,0.009999999999999953,205097.0,183136.0,3922.0,24916.0,13553.0,389.0,24916.0,13553.0,389.0,392153,21961.0
36,"{'trumpd': 0.534, 'bidenj': 0.455}",424293,8,edison,2020-11-04T00:54:59Z,0.534,0.455,0.010999999999999954,226573.0,193054.0,4668.0,21476.0,9918.0,746.0,21476.0,9918.0,746.0,424293,33519.0
