,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
0,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T10:00:04Z,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0.0
1,"{'bidenj': 0.724, 'trumpd': 0.263}",36561,1,edison,2020-11-04T01:09:14Z,0.263,0.724,0.013000000000000012,9616.0,26471.0,476.0,9616.0,26471.0,476.0,9616.0,26471.0,476.0,36561,-16855.0
2,"{'bidenj': 0.707, 'trumpd': 0.281}",38469,1,edison,2020-11-04T01:13:29Z,0.281,0.707,0.01200000000000001,10810.0,27198.0,462.0,1194.0,727.0,-14.0,1194.0,727.0,14.0,38469,-16388.0
3,"{'bidenj': 0.589, 'trumpd': 0.397}",54591,1,edison,2020-11-04T01:13:52Z,0.397,0.589,0.014000000000000012,21673.0,32155.0,765.0,10863.0,4957.0,303.0,10863.0,4957.0,303.0,54591,-10482.0
4,"{'bidenj': 0.549, 'trumpd': 0.435}",65840,1,edison,2020-11-04T01:20:24Z,0.435,0.549,0.015999999999999903,28641.0,36147.0,1054.0,6968.0,3992.0,289.0,6968.0,3992.0,289.0,65840,-7506.0
5,"{'trumpd': 0.552, 'bidenj': 0.431}",134852,2,edison,2020-11-04T01:20:50Z,0.552,0.431,0.01699999999999996,74439.0,58122.0,2293.0,45798.0,21975.0,1239.0,45798.0,21975.0,1239.0,134852,16317.0
6,"{'trumpd': 0.554, 'bidenj': 0.429}",136064,2,edison,2020-11-04T01:22:30Z,0.554,0.429,0.01699999999999996,75380.0,58372.0,2314.0,941.0,250.0,21.0,941.0,250.0,21.0,136064,17008.0
7,"{'trumpd': 0.584, 'bidenj': 0.398}",189834,3,edison,2020-11-04T01:25:54Z,0.584,0.398,0.018000000000000016,110864.0,75554.0,3418.0,35484.0,17182.0,1104.0,35484.0,17182.0,1104.0,189834,35310.0
8,"{'trumpd': 0.583, 'bidenj': 0.399}",198052,3,edison,2020-11-04T01:26:24Z,0.583,0.399,0.018000000000000016,115465.0,79023.0,3565.0,4601.0,3469.0,147.0,4601.0,3469.0,147.0,198052,36442.0
9,"{'trumpd': 0.5680000000000001, 'bidenj': 0.41300000000000003}",216387,4,edison,2020-11-04T01:28:36Z,0.5680000000000001,0.41300000000000003,0.018999999999999906,122908.0,89368.0,4112.0,7443.0,10345.0,547.0,7443.0,10345.0,547.0,216387,33540.0
10,"{'trumpd': 0.5750000000000001, 'bidenj': 0.40700000000000003}",232274,4,edison,2020-11-04T01:28:51Z,0.5750000000000001,0.40700000000000003,0.017999999999999905,133558.0,94536.0,4181.0,10650.0,5168.0,69.0,10650.0,5168.0,69.0,232274,39022.0
11,"{'trumpd': 0.5750000000000001, 'bidenj': 0.406}",232460,4,edison,2020-11-04T01:32:32Z,0.5750000000000001,0.406,0.018999999999999906,133665.0,94379.0,4417.0,107.0,-157.0,236.0,107.0,157.0,236.0,232460,39286.0
12,"{'trumpd': 0.579, 'bidenj': 0.402}",254286,4,edison,2020-11-04T01:32:51Z,0.579,0.402,0.019000000000000017,147232.0,102223.0,4832.0,13567.0,7844.0,415.0,13567.0,7844.0,415.0,254286,45009.0
13,"{'trumpd': 0.58, 'bidenj': 0.401}",257353,5,edison,2020-11-04T01:37:59Z,0.58,0.401,0.019000000000000017,149265.0,103199.0,4890.0,2033.0,976.0,58.0,2033.0,976.0,58.0,257353,46066.0
14,"{'trumpd': 0.5760000000000001, 'bidenj': 0.406}",284659,5,edison,2020-11-04T01:39:31Z,0.5760000000000001,0.406,0.017999999999999905,163964.0,115572.0,5124.0,14699.0,12373.0,234.0,14699.0,12373.0,234.0,284659,48392.0
15,"{'trumpd': 0.5760000000000001, 'bidenj': 0.405}",285117,5,edison,2020-11-04T01:39:54Z,0.5760000000000001,0.405,0.018999999999999906,164228.0,115473.0,5418.0,264.0,-99.0,294.0,264.0,99.0,294.0,285117,48755.0
16,"{'trumpd': 0.5760000000000001, 'bidenj': 0.405}",285164,5,edison,2020-11-04T01:40:08Z,0.5760000000000001,0.405,0.018999999999999906,164255.0,115492.0,5419.0,27.0,19.0,1.0,27.0,19.0,1.0,285164,48763.0
17,"{'trumpd': 0.5760000000000001, 'bidenj': 0.405}",285529,5,edison,2020-11-04T01:41:08Z,0.5760000000000001,0.405,0.018999999999999906,164465.0,115640.0,5426.0,210.0,148.0,7.0,210.0,148.0,7.0,285529,48825.0
18,"{'trumpd': 0.577, 'bidenj': 0.404}",289631,5,edison,2020-11-04T01:43:02Z,0.577,0.404,0.019000000000000017,167118.0,117011.0,5503.0,2653.0,1371.0,77.0,2653.0,1371.0,77.0,289631,50107.0
19,"{'trumpd': 0.577, 'bidenj': 0.402}",392781,7,edison,2020-11-04T01:43:16Z,0.577,0.402,0.02100000000000002,226635.0,157898.0,8249.0,59517.0,40887.0,2746.0,59517.0,40887.0,2746.0,392781,68737.0
20,"{'trumpd': 0.579, 'bidenj': 0.399}",404321,7,edison,2020-11-04T01:43:27Z,0.579,0.399,0.02200000000000002,234102.0,161325.0,8896.0,7467.0,3427.0,647.0,7467.0,3427.0,647.0,404321,72777.0
21,"{'trumpd': 0.579, 'bidenj': 0.4}",433755,8,edison,2020-11-04T01:43:55Z,0.579,0.4,0.02100000000000002,251145.0,173502.0,9109.0,17043.0,12177.0,213.0,17043.0,12177.0,213.0,433755,77643.0
22,"{'trumpd': 0.579, 'bidenj': 0.4}",435199,8,edison,2020-11-04T01:46:03Z,0.579,0.4,0.02100000000000002,251981.0,174080.0,9140.0,836.0,578.0,31.0,836.0,578.0,31.0,435199,77901.0
23,"{'trumpd': 0.579, 'bidenj': 0.4}",439375,8,edison,2020-11-04T01:46:50Z,0.579,0.4,0.02100000000000002,254399.0,175750.0,9227.0,2418.0,1670.0,87.0,2418.0,1670.0,87.0,439375,78649.0
24,"{'trumpd': 0.591, 'bidenj': 0.388}",477151,8,edison,2020-11-04T01:48:02Z,0.591,0.388,0.02100000000000002,281997.0,185135.0,10021.0,27598.0,9385.0,794.0,27598.0,9385.0,794.0,477151,96862.0
25,"{'trumpd': 0.597, 'bidenj': 0.382}",498880,9,edison,2020-11-04T01:50:30Z,0.597,0.382,0.02100000000000002,297832.0,190573.0,10477.0,15835.0,5438.0,456.0,15835.0,5438.0,456.0,498880,107259.0
26,"{'trumpd': 0.582, 'bidenj': 0.397}",550389,10,edison,2020-11-04T01:51:17Z,0.582,0.397,0.02100000000000002,320327.0,218505.0,11559.0,22495.0,27932.0,1082.0,22495.0,27932.0,1082.0,550389,101822.0
27,"{'trumpd': 0.578, 'bidenj': 0.401}",573857,10,edison,2020-11-04T01:51:26Z,0.578,0.401,0.02100000000000002,331690.0,230117.0,12051.0,11363.0,11612.0,492.0,11363.0,11612.0,492.0,573857,101573.0
28,"{'trumpd': 0.5680000000000001, 'bidenj': 0.406}",574417,10,edison,2020-11-04T01:51:52Z,0.5680000000000001,0.406,0.025999999999999912,326269.0,233214.0,14935.0,-5421.0,3097.0,2884.0,5421.0,3097.0,2884.0,574417,93055.0
29,"{'trumpd': 0.5710000000000001, 'bidenj': 0.404}",641548,11,edison,2020-11-04T01:53:23Z,0.5710000000000001,0.404,0.02499999999999991,366324.0,259186.0,16039.0,40055.0,25972.0,1104.0,40055.0,25972.0,1104.0,641548,107138.0
30,"{'trumpd': 0.5700000000000001, 'bidenj': 0.404}",663038,12,edison,2020-11-04T01:55:13Z,0.5700000000000001,0.404,0.025999999999999912,377932.0,267868.0,17239.0,11608.0,8682.0,1200.0,11608.0,8682.0,1200.0,663038,110064.0
