,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
0,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T09:25:23Z,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0.0
1,"{'bidenj': 0.5710000000000001, 'trumpd': 0.429}",77,0,edison,2020-11-04T00:19:27Z,0.429,0.5710000000000001,-1.1102230246251565e-16,34.0,44.0,-0.0,34.0,44.0,-0.0,34.0,44.0,0.0,77,-10.0
2,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T00:30:20Z,0.0,0.0,1.0,0.0,0.0,0.0,-34.0,-44.0,0.0,34.0,44.0,0.0,0,0.0
3,"{'bidenj': 0.636, 'trumpd': 0.364}",11,0,edison,2020-11-04T00:42:45Z,0.364,0.636,0.0,5.0,7.0,0.0,5.0,7.0,0.0,5.0,7.0,0.0,11,-2.0
4,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T00:59:15Z,0.0,0.0,1.0,0.0,0.0,0.0,-5.0,-7.0,0.0,5.0,7.0,0.0,0,0.0
5,"{'bidenj': 0.799, 'trumpd': 0.188}",64535,1,edison,2020-11-04T01:03:44Z,0.188,0.799,0.013000000000000012,12133.0,51564.0,839.0,12133.0,51564.0,839.0,12133.0,51564.0,839.0,64535,-39431.0
6,"{'bidenj': 0.772, 'trumpd': 0.216}",86353,1,edison,2020-11-04T01:14:19Z,0.216,0.772,0.01200000000000001,18653.0,66665.0,1037.0,6520.0,15101.0,198.0,6520.0,15101.0,198.0,86353,-48012.0
7,"{'bidenj': 0.764, 'trumpd': 0.225}",120261,2,edison,2020-11-04T01:14:26Z,0.225,0.764,0.01100000000000001,27059.0,91880.0,1323.0,8406.0,25215.0,286.0,8406.0,25215.0,286.0,120261,-64821.0
8,"{'bidenj': 0.8310000000000001, 'trumpd': 0.16}",195481,3,edison,2020-11-04T01:15:31Z,0.16,0.8310000000000001,0.008999999999999897,31277.0,162445.0,1760.0,4218.0,70565.0,437.0,4218.0,70565.0,437.0,195481,-131168.0
9,"{'bidenj': 0.8280000000000001, 'trumpd': 0.163}",211317,3,edison,2020-11-04T01:15:55Z,0.163,0.8280000000000001,0.008999999999999897,34445.0,174971.0,1902.0,3168.0,12526.0,142.0,3168.0,12526.0,142.0,211317,-140526.0
