,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
0,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T10:00:04Z,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0.0
1,"{'bidenj': 0.857, 'trumpd': 0.14300000000000002}",7,0,edison,2020-11-04T00:34:55Z,0.14300000000000002,0.857,0.0,2.0,6.0,0.0,2.0,6.0,0.0,2.0,6.0,0.0,7,-4.0
2,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T00:41:07Z,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-6.0,0.0,2.0,6.0,0.0,0,0.0
3,"{'trumpd': 0.636, 'bidenj': 0.364}",11,0,edison,2020-11-04T00:45:12Z,0.636,0.364,0.0,7.0,5.0,0.0,7.0,5.0,0.0,7.0,5.0,0.0,11,2.0
4,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T00:53:56Z,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,-5.0,0.0,7.0,5.0,0.0,0,0.0
5,"{'trumpd': 0.529, 'bidenj': 0.456}",382980,3,edison,2020-11-04T01:01:47Z,0.529,0.456,0.014999999999999958,202597.0,174639.0,5745.0,202597.0,174639.0,5745.0,202597.0,174639.0,5745.0,382980,27958.0
6,"{'bidenj': 0.594, 'trumpd': 0.393}",1180385,10,edison,2020-11-04T01:02:14Z,0.393,0.594,0.013000000000000012,463892.0,701149.0,15346.0,261295.0,526510.0,9601.0,261295.0,526510.0,9601.0,1180385,-237257.0
7,"{'bidenj': 0.587, 'trumpd': 0.4}",1208318,10,edison,2020-11-04T01:03:35Z,0.4,0.587,0.013000000000000012,483328.0,709283.0,15709.0,19436.0,8134.0,363.0,19436.0,8134.0,363.0,1208318,-225955.0
8,"{'bidenj': 0.585, 'trumpd': 0.401}",1212484,10,edison,2020-11-04T01:06:42Z,0.401,0.585,0.014000000000000012,486207.0,709304.0,16975.0,2879.0,21.0,1266.0,2879.0,21.0,1266.0,1212484,-223097.0
9,"{'bidenj': 0.583, 'trumpd': 0.403}",1218197,10,edison,2020-11-04T01:06:55Z,0.403,0.583,0.014000000000000012,490934.0,710209.0,17055.0,4727.0,905.0,80.0,4727.0,905.0,80.0,1218197,-219275.0
10,"{'bidenj': 0.5710000000000001, 'trumpd': 0.41600000000000004}",2625107,23,edison,2020-11-04T01:10:38Z,0.41600000000000004,0.5710000000000001,0.0129999999999999,1092045.0,1498937.0,34127.0,601111.0,788728.0,17072.0,601111.0,788728.0,17072.0,2625107,-406892.0
11,"{'bidenj': 0.5650000000000001, 'trumpd': 0.421}",2883632,25,edison,2020-11-04T01:12:05Z,0.421,0.5650000000000001,0.013999999999999901,1214010.0,1629253.0,40371.0,121965.0,130316.0,6244.0,121965.0,130316.0,6244.0,2883632,-415243.0
12,"{'bidenj': 0.5640000000000001, 'trumpd': 0.423}",2897293,25,edison,2020-11-04T01:12:41Z,0.423,0.5640000000000001,0.0129999999999999,1225555.0,1634074.0,37665.0,11545.0,4821.0,-2706.0,11545.0,4821.0,2706.0,2897293,-408519.0
13,"{'bidenj': 0.561, 'trumpd': 0.426}",2983271,26,edison,2020-11-04T01:13:12Z,0.426,0.561,0.013000000000000012,1270874.0,1673616.0,38783.0,45319.0,39542.0,1118.0,45319.0,39542.0,1118.0,2983271,-402742.0
14,"{'bidenj': 0.555, 'trumpd': 0.432}",3039380,26,edison,2020-11-04T01:15:03Z,0.432,0.555,0.013000000000000012,1313013.0,1686856.0,39512.0,42139.0,13240.0,729.0,42139.0,13240.0,729.0,3039380,-373843.0
15,"{'bidenj': 0.553, 'trumpd': 0.433}",3047422,26,edison,2020-11-04T01:15:28Z,0.433,0.553,0.013999999999999901,1319534.0,1685225.0,42664.0,6521.0,-1631.0,3152.0,6521.0,1631.0,3152.0,3047422,-365691.0
16,"{'bidenj': 0.553, 'trumpd': 0.433}",3047423,26,edison,2020-11-04T01:15:55Z,0.433,0.553,0.013999999999999901,1319535.0,1685225.0,42664.0,1.0,0.0,0.0,1.0,0.0,0.0,3047423,-365690.0
17,"{'bidenj': 0.552, 'trumpd': 0.435}",3059967,26,edison,2020-11-04T01:16:18Z,0.435,0.552,0.0129999999999999,1331086.0,1689102.0,39780.0,11551.0,3877.0,-2884.0,11551.0,3877.0,2884.0,3059967,-358016.0
18,"{'bidenj': 0.541, 'trumpd': 0.446}",3758725,32,edison,2020-11-04T01:16:35Z,0.446,0.541,0.013000000000000012,1676392.0,2033471.0,48864.0,345306.0,344369.0,9084.0,345306.0,344369.0,9084.0,3758725,-357079.0
19,"{'bidenj': 0.54, 'trumpd': 0.447}",3763956,32,edison,2020-11-04T01:16:58Z,0.447,0.54,0.0129999999999999,1682489.0,2032537.0,48932.0,6097.0,-934.0,68.0,6097.0,934.0,68.0,3763956,-350048.0
20,"{'bidenj': 0.539, 'trumpd': 0.448}",3780651,32,edison,2020-11-04T01:19:07Z,0.448,0.539,0.013000000000000012,1693732.0,2037771.0,49149.0,11243.0,5234.0,217.0,11243.0,5234.0,217.0,3780651,-344039.0
21,"{'bidenj': 0.535, 'trumpd': 0.452}",3855456,33,edison,2020-11-04T01:21:02Z,0.452,0.535,0.013000000000000012,1742667.0,2062669.0,50121.0,48935.0,24898.0,972.0,48935.0,24898.0,972.0,3855456,-320002.0
22,"{'bidenj': 0.532, 'trumpd': 0.455}",3882817,33,edison,2020-11-04T01:21:41Z,0.455,0.532,0.0129999999999999,1766682.0,2065659.0,50477.0,24015.0,2990.0,356.0,24015.0,2990.0,356.0,3882817,-298977.0
23,"{'bidenj': 0.526, 'trumpd': 0.46}",3958489,34,edison,2020-11-04T01:22:12Z,0.46,0.526,0.014000000000000012,1820905.0,2082166.0,55419.0,54223.0,16507.0,4942.0,54223.0,16507.0,4942.0,3958489,-261261.0
24,"{'bidenj': 0.526, 'trumpd': 0.461}",3962378,34,edison,2020-11-04T01:23:14Z,0.461,0.526,0.0129999999999999,1826657.0,2084211.0,51511.0,5752.0,2045.0,-3908.0,5752.0,2045.0,3908.0,3962378,-257554.0
