,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
0,"{'trumpd': 0, 'bidenj': 0}",0,0,edison,2020-11-04T10:02:04Z,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0.0
1,"{'bidenj': 0.725, 'trumpd': 0.256}",1095,0,edison,2020-11-04T02:14:29Z,0.256,0.725,0.019000000000000017,281.0,794.0,21.0,281.0,794.0,21.0,281.0,794.0,21.0,1095,-513.0
2,"{'trumpd': 0.619, 'bidenj': 0.362}",9001,0,edison,2020-11-04T02:18:58Z,0.619,0.362,0.019000000000000017,5572.0,3259.0,172.0,5291.0,2465.0,151.0,5291.0,2465.0,151.0,9001,2313.0
3,"{'bidenj': 0.624, 'trumpd': 0.359}",43641,1,edison,2020-11-04T02:23:05Z,0.359,0.624,0.017000000000000015,15668.0,27232.0,742.0,10096.0,23973.0,570.0,10096.0,23973.0,570.0,43641,-11564.0
4,"{'trumpd': 0.543, 'bidenj': 0.441}",109676,3,edison,2020-11-04T02:24:58Z,0.543,0.441,0.01599999999999996,59555.0,48368.0,1755.0,43887.0,21136.0,1013.0,43887.0,21136.0,1013.0,109676,11187.0
5,"{'trumpd': 0.55, 'bidenj': 0.433}",116441,3,edison,2020-11-04T02:27:50Z,0.55,0.433,0.01699999999999996,64043.0,50419.0,1980.0,4488.0,2051.0,225.0,4488.0,2051.0,225.0,116441,13624.0
6,"{'trumpd': 0.496, 'bidenj': 0.487}",138795,4,edison,2020-11-04T02:27:56Z,0.496,0.487,0.017000000000000015,68843.0,67594.0,2360.0,4800.0,17175.0,380.0,4800.0,17175.0,380.0,138795,1249.0
7,"{'trumpd': 0.498, 'bidenj': 0.486}",139671,4,edison,2020-11-04T02:28:29Z,0.498,0.486,0.016000000000000014,69557.0,67881.0,2235.0,714.0,287.0,-125.0,714.0,287.0,125.0,139671,1676.0
8,"{'bidenj': 0.508, 'trumpd': 0.47400000000000003}",213227,6,edison,2020-11-04T02:29:02Z,0.47400000000000003,0.508,0.018000000000000016,101070.0,108320.0,3839.0,31513.0,40439.0,1604.0,31513.0,40439.0,1604.0,213227,-7250.0
9,"{'trumpd': 0.492, 'bidenj': 0.489}",279037,8,edison,2020-11-04T02:30:00Z,0.492,0.489,0.019000000000000017,137287.0,136450.0,5302.0,36217.0,28130.0,1463.0,36217.0,28130.0,1463.0,279037,837.0
10,"{'trumpd': 0.493, 'bidenj': 0.488}",281229,8,edison,2020-11-04T02:32:26Z,0.493,0.488,0.019000000000000017,138646.0,137240.0,5344.0,1359.0,790.0,42.0,1359.0,790.0,42.0,281229,1406.0
11,"{'trumpd': 0.509, 'bidenj': 0.47100000000000003}",316869,9,edison,2020-11-04T02:34:02Z,0.509,0.47100000000000003,0.019999999999999962,161287.0,149246.0,6338.0,22641.0,12006.0,994.0,22641.0,12006.0,994.0,316869,12041.0
12,"{'bidenj': 0.504, 'trumpd': 0.47700000000000004}",352596,10,edison,2020-11-04T02:34:40Z,0.47700000000000004,0.504,0.018999999999999906,168189.0,177709.0,6700.0,6902.0,28463.0,362.0,6902.0,28463.0,362.0,352596,-9520.0
13,"{'bidenj': 0.504, 'trumpd': 0.47700000000000004}",353826,10,edison,2020-11-04T02:35:06Z,0.47700000000000004,0.504,0.018999999999999906,168776.0,178329.0,6723.0,587.0,620.0,23.0,587.0,620.0,23.0,353826,-9553.0
14,"{'bidenj': 0.502, 'trumpd': 0.48}",359150,10,edison,2020-11-04T02:36:25Z,0.48,0.502,0.018000000000000016,172392.0,180294.0,6465.0,3616.0,1965.0,-258.0,3616.0,1965.0,258.0,359150,-7902.0
15,"{'bidenj': 0.501, 'trumpd': 0.48}",359709,10,edison,2020-11-04T02:37:36Z,0.48,0.501,0.019000000000000017,172661.0,180215.0,6835.0,269.0,-79.0,370.0,269.0,79.0,370.0,359709,-7554.0
16,"{'bidenj': 0.499, 'trumpd': 0.482}",376689,10,edison,2020-11-04T02:38:19Z,0.482,0.499,0.019000000000000017,181565.0,187968.0,7158.0,8904.0,7753.0,323.0,8904.0,7753.0,323.0,376689,-6403.0
17,"{'bidenj': 0.495, 'trumpd': 0.486}",393072,11,edison,2020-11-04T02:39:00Z,0.486,0.495,0.019000000000000017,191033.0,194571.0,7469.0,9468.0,6603.0,311.0,9468.0,6603.0,311.0,393072,-3538.0
18,"{'bidenj': 0.512, 'trumpd': 0.46900000000000003}",468775,13,edison,2020-11-04T02:42:35Z,0.46900000000000003,0.512,0.018999999999999906,219856.0,240013.0,8907.0,28823.0,45442.0,1438.0,28823.0,45442.0,1438.0,468775,-20157.0
19,"{'bidenj': 0.504, 'trumpd': 0.47700000000000004}",511953,14,edison,2020-11-04T02:43:50Z,0.47700000000000004,0.504,0.018999999999999906,244202.0,258025.0,9728.0,24346.0,18012.0,821.0,24346.0,18012.0,821.0,511953,-13823.0
20,"{'bidenj': 0.504, 'trumpd': 0.47700000000000004}",512037,14,edison,2020-11-04T02:44:16Z,0.47700000000000004,0.504,0.018999999999999906,244242.0,258067.0,9729.0,40.0,42.0,1.0,40.0,42.0,1.0,512037,-13825.0
21,"{'trumpd': 0.498, 'bidenj': 0.483}",555995,15,edison,2020-11-04T02:46:37Z,0.498,0.483,0.019000000000000017,276886.0,268546.0,10564.0,32644.0,10479.0,835.0,32644.0,10479.0,835.0,555995,8340.0
22,"{'bidenj': 0.516, 'trumpd': 0.466}",623182,17,edison,2020-11-04T02:46:58Z,0.466,0.516,0.018000000000000016,290403.0,321562.0,11218.0,13517.0,53016.0,654.0,13517.0,53016.0,654.0,623182,-31159.0
23,"{'bidenj': 0.51, 'trumpd': 0.47300000000000003}",661164,18,edison,2020-11-04T02:47:06Z,0.47300000000000003,0.51,0.016999999999999904,312731.0,337194.0,11240.0,22328.0,15632.0,22.0,22328.0,15632.0,22.0,661164,-24463.0
24,"{'bidenj': 0.509, 'trumpd': 0.47200000000000003}",661737,18,edison,2020-11-04T02:48:16Z,0.47200000000000003,0.509,0.019000000000000017,312340.0,336825.0,12574.0,-391.0,-369.0,1334.0,391.0,369.0,1334.0,661737,-24485.0
25,"{'bidenj': 0.508, 'trumpd': 0.47400000000000003}",670482,19,edison,2020-11-04T02:48:52Z,0.47400000000000003,0.508,0.018000000000000016,317809.0,340605.0,12069.0,5469.0,3780.0,-505.0,5469.0,3780.0,505.0,670482,-22796.0
26,"{'bidenj': 0.507, 'trumpd': 0.47400000000000003}",688302,19,edison,2020-11-04T02:49:19Z,0.47400000000000003,0.507,0.019000000000000017,326256.0,348970.0,13078.0,8447.0,8365.0,1009.0,8447.0,8365.0,1009.0,688302,-22714.0
27,"{'bidenj': 0.5, 'trumpd': 0.482}",730981,20,edison,2020-11-04T02:51:09Z,0.482,0.5,0.018000000000000016,352333.0,365491.0,13158.0,26077.0,16521.0,80.0,26077.0,16521.0,80.0,730981,-13158.0
28,"{'bidenj': 0.509, 'trumpd': 0.47400000000000003}",751724,21,edison,2020-11-04T02:51:39Z,0.47400000000000003,0.509,0.017000000000000015,356318.0,382628.0,12780.0,3985.0,17137.0,-378.0,3985.0,17137.0,378.0,751724,-26310.0
29,"{'bidenj': 0.501, 'trumpd': 0.482}",781761,22,edison,2020-11-04T02:52:35Z,0.482,0.501,0.017000000000000015,376809.0,391663.0,13290.0,20491.0,9035.0,510.0,20491.0,9035.0,510.0,781761,-14854.0
30,"{'bidenj': 0.496, 'trumpd': 0.487}",819913,23,edison,2020-11-04T02:53:41Z,0.487,0.496,0.017000000000000015,399298.0,406677.0,13939.0,22489.0,15014.0,649.0,22489.0,15014.0,649.0,819913,-7379.0
31,"{'bidenj': 0.496, 'trumpd': 0.487}",820289,23,edison,2020-11-04T02:54:34Z,0.487,0.496,0.017000000000000015,399481.0,406864.0,13945.0,183.0,187.0,6.0,183.0,187.0,6.0,820289,-7383.0
